Seed-49154	[0.8290853727303484, 0.8139929934897667, 0.8371077310326677, 0.8509689557203859, 0.8537381941914731, 0.8256604662293335, 0.8436133725965792, 0.8438655094883286, 0.8571993072285861, 0.8632177449182699, 0.8702482842473621]
Seed-19263	[0.8889338663158427, 0.8575687028301466, 0.8784985530592303, 0.8841769598905624, 0.8881416938340919, 0.8398378136147318, 0.8592217617551283, 0.8256905663219395, 0.8115821593723286, 0.8151987980770509, 0.7993000228982702]
Seed-25272	[0.880491214057508, 0.8630057536911716, 0.8877921067638305, 0.8890797947620772, 0.8872106908896006, 0.8506753196860631, 0.8411939266972606, 0.8353063597866579, 0.8222713000178408, 0.8194167136759525, 0.8221961799449381]
Seed-79992	[0.8563991523081176, 0.8841038755348163, 0.87465389666394, 0.8380154337884992, 0.8235585428546042, 0.8296331756641422, 0.83156713289462, 0.8459863191502996, 0.8372168554517936, 0.8307276608525708, 0.8390766251420555]
Seed-42720	[0.8528537282108086, 0.9128262519932682, 0.927113350519309, 0.9263860837522426, 0.8814929635925217, 0.8691959112566693, 0.8798381428418146, 0.8616182015463811, 0.8691768281362166, 0.8635317491276371, 0.8534783429875084]
Seed-39395	[0.9047665087498792, 0.9189248160089603, 0.8798184210601713, 0.8467448341761996, 0.8377347830443425, 0.818399610117412, 0.813676628443061, 0.8164599702784208, 0.8013606800840045, 0.7990699893544291, 0.7858885118577075]
Seed-92874	[0.8853074234011927, 0.8762441611043054, 0.8563449246675353, 0.8567486751778796, 0.8801296435599648, 0.8554531574299452, 0.8560639883722276, 0.8479971159420975, 0.8425904280040837, 0.8392272517633451, 0.8186977206753359]
Seed-17114	[0.8704925760075418, 0.9127057945797978, 0.8952429193245778, 0.8796966567971994, 0.8435034789773965, 0.8236068670351422, 0.8048025829306147, 0.8003035965738683, 0.7977098555325258, 0.799612579396506, 0.8165322052817686]
Seed-17127	[0.8783903115932887, 0.8227932175105327, 0.8500695103900796, 0.8638493419261104, 0.8601077254938826, 0.8428097845435637, 0.8494505474259479, 0.8239728047906111, 0.8242178459286633, 0.8202014839007828, 0.8235234037187766]
Seed-22442	[0.8594838709677419, 0.8858158377386989, 0.8309227989452393, 0.8318885697651477, 0.8593567728629623, 0.8554330804257807, 0.8319684673496374, 0.837680600616939, 0.8268627268490517, 0.8479491478423515, 0.8335998408030744]
