1	0.89681	0.89012	0.89863	0.89902	168002	1.17887	
2	0.85867	0.86710	0.86646	0.68219	36187	1.22798	
3	0.87801	0.87786	0.87935	0.51930	16060	1.24726	
4	0.76568	0.75913	0.76375	0.40524	6081	1.29386	
5	0.78016	0.78532	0.79458	0.34558	4961	1.30407	
6	0.69704	0.69329	0.70814	0.29387	5652	1.32947	
7	0.74763	0.74766	0.75878	0.24242	5702	1.28519	
8	0.60447	0.60850	0.61279	0.25792	27786	1.31779	
9	0.64871	0.64588	0.64059	0.22967	27513	1.31909	
10	0.68576	0.69552	0.69429	0.19872	6616	1.38073	
11	0.67803	0.67877	0.67686	0.18476	8771	1.39037	
1	0.89724	0.89392	0.89826	0.89951	168002	1.25198	
2	0.86718	0.87009	0.86890	0.61899	36187	1.13878	
3	0.88890	0.88668	0.88263	0.46704	16060	1.16671	
4	0.77902	0.78012	0.77685	0.41609	6081	1.21408	
5	0.77668	0.77624	0.78313	0.30978	4961	1.17993	
6	0.66817	0.67002	0.66795	0.27541	5652	1.23093	
7	0.74607	0.73374	0.72499	0.24319	5702	1.23640	
8	0.60031	0.60536	0.60915	0.25995	27786	1.22611	
9	0.66686	0.66754	0.66525	0.21763	27513	1.25769	
10	0.69692	0.70517	0.69456	0.20881	6616	1.25141	
11	0.67669	0.67814	0.67839	0.19400	8771	1.23606	
1	0.89644	0.89896	0.89435	0.89982	168002	1.16154	
2	0.85718	0.86192	0.86145	0.64239	36187	1.14242	
3	0.87901	0.87756	0.88023	0.48457	16060	1.16795	
4	0.77168	0.76346	0.76354	0.42065	6081	1.20607	
5	0.80002	0.79520	0.80362	0.32736	4961	1.22891	
6	0.68962	0.68194	0.67906	0.27775	5652	1.22449	
7	0.76217	0.75772	0.75145	0.25064	5702	1.25631	
8	0.62685	0.62385	0.62626	0.26362	27786	1.24946	
9	0.65318	0.65241	0.65759	0.26145	27513	1.23979	
10	0.71600	0.72005	0.72162	0.19607	6616	1.29381	
11	0.68287	0.68243	0.68288	0.18509	8771	1.27798	
1	0.89548	0.89724	0.89751	0.89729	168002	1.15533	
2	0.85887	0.86126	0.85858	0.61034	36187	1.14275	
3	0.88802	0.88639	0.89046	0.52133	16060	1.16702	
4	0.76083	0.74808	0.75012	0.39468	6081	1.20851	
5	0.76557	0.75322	0.75888	0.32068	4961	1.16457	
6	0.67570	0.68223	0.67571	0.27819	5652	1.14578	
7	0.73551	0.74222	0.74122	0.26341	5702	1.20736	
8	0.62257	0.64058	0.63620	0.25599	27786	1.22865	
9	0.62110	0.63185	0.62657	0.23809	27513	1.24838	
10	0.70248	0.69472	0.69987	0.19494	6616	1.26382	
11	0.66192	0.66071	0.65978	0.17368	8771	1.23205	
1	0.89815	0.89628	0.89564	0.90062	168002	1.16466	
2	0.86434	0.86536	0.86613	0.61564	36187	1.14240	
3	0.88464	0.88040	0.87961	0.49816	16060	1.13394	
4	0.79801	0.79727	0.79481	0.44127	6081	1.19234	
5	0.81919	0.81981	0.82041	0.31124	4961	1.21910	
6	0.69231	0.68679	0.67638	0.30458	5652	1.24091	
7	0.75929	0.77136	0.75264	0.24127	5702	1.24543	
8	0.63775	0.64926	0.64580	0.25004	27786	1.24068	
9	0.65890	0.65796	0.66513	0.25083	27513	1.26467	
10	0.73221	0.72913	0.73379	0.18993	6616	1.29015	
11	0.68801	0.67947	0.69203	0.18193	8771	1.30014	
