1	0.89462	0.89767	0.89981	0.90035	168002	1.40870	
2	0.90852	0.90588	0.90332	0.50228	55237	1.43199	
3	0.90895	0.91012	0.91097	0.44058	35112	1.46511	
4	0.87836	0.86815	0.87361	0.35475	25143	1.48877	
5	0.86459	0.86782	0.86836	0.30061	24031	1.48050	
6	0.82156	0.82031	0.81516	0.25767	24730	1.51159	
7	0.82993	0.84041	0.82845	0.23696	24768	1.53468	
8	0.81975	0.82053	0.82188	0.24509	46866	1.54697	
9	0.80432	0.79925	0.79422	0.19552	46599	1.55655	
10	0.80758	0.80624	0.80250	0.19839	25702	1.57234	
11	0.79969	0.79584	0.79267	0.19608	27859	1.59632	
1	0.89837	0.89644	0.89788	0.89816	168002	1.41868	
2	0.90150	0.90249	0.90571	0.54288	55237	1.42506	
3	0.91730	0.91487	0.91128	0.45415	35112	1.44650	
4	0.85974	0.85915	0.86759	0.34392	25143	1.49067	
5	0.86180	0.85900	0.86866	0.27341	24031	1.51617	
6	0.82633	0.80923	0.81139	0.25700	24730	1.52591	
7	0.81696	0.81692	0.82552	0.24317	24768	1.52188	
8	0.80889	0.80989	0.80524	0.21278	46866	1.53308	
9	0.81195	0.80619	0.79445	0.20019	46599	1.56603	
10	0.79673	0.80159	0.80305	0.19546	25702	1.58829	
11	0.79780	0.80288	0.79182	0.19509	27859	1.61018	
1	0.89933	0.89564	0.89585	0.90253	168002	1.43494	
2	0.90444	0.90527	0.90826	0.50118	55237	1.43279	
3	0.90509	0.90081	0.90494	0.41411	35112	1.44925	
4	0.87755	0.87512	0.87943	0.36685	25143	1.47025	
5	0.86496	0.86131	0.86960	0.29004	24031	1.49758	
6	0.81820	0.83241	0.82190	0.25072	24730	1.48777	
7	0.82371	0.81878	0.81036	0.23454	24768	1.49664	
8	0.81249	0.81226	0.80506	0.22225	46866	1.52421	
9	0.79843	0.81529	0.80508	0.19208	46599	1.54977	
10	0.79986	0.80627	0.80032	0.19939	25702	1.57127	
11	0.80011	0.80025	0.79931	0.18667	27859	1.60544	
1	0.89242	0.89280	0.89473	0.90004	168002	1.43113	
2	0.90637	0.90880	0.90534	0.51649	55237	1.43842	
3	0.90815	0.90796	0.90645	0.45668	35112	1.45781	
4	0.85755	0.85062	0.85556	0.35406	25143	1.48299	
5	0.86583	0.86821	0.86693	0.29040	24031	1.49659	
6	0.81988	0.81436	0.82710	0.26160	24730	1.51275	
7	0.81967	0.83293	0.83433	0.25502	24768	1.53529	
8	0.80348	0.80138	0.80159	0.20560	46866	1.55813	
9	0.80178	0.80153	0.80735	0.21683	46599	1.56897	
10	0.80008	0.80077	0.80220	0.19851	25702	1.55204	
11	0.80650	0.79877	0.80395	0.19026	27859	1.60419	
1	0.88953	0.88819	0.89146	0.89308	168002	1.44570	
2	0.90386	0.89973	0.90628	0.49980	55237	1.45600	
3	0.91287	0.91311	0.91571	0.43915	35112	1.48104	
4	0.86921	0.87590	0.87317	0.38301	25143	1.49863	
5	0.85428	0.86426	0.86742	0.28845	24031	1.51465	
6	0.82588	0.82913	0.83060	0.26224	24730	1.52456	
7	0.81503	0.82302	0.83319	0.23566	24768	1.53197	
8	0.80205	0.80735	0.80074	0.21947	46866	1.53898	
9	0.80461	0.80388	0.80660	0.19688	46599	1.56575	
10	0.79999	0.79895	0.80108	0.18851	25702	1.54544	
11	0.79556	0.79331	0.79028	0.19028	27859	1.60551	
1	0.90260	0.90115	0.89901	0.90713	168002	1.41174	
2	0.89411	0.89304	0.89856	0.50004	55237	1.41901	
3	0.91612	0.91580	0.91215	0.40277	35112	1.44518	
4	0.87360	0.87332	0.87442	0.34735	25143	1.46910	
5	0.86918	0.86483	0.86176	0.28986	24031	1.48743	
6	0.82260	0.82636	0.82437	0.24629	24730	1.50212	
7	0.82121	0.81840	0.83375	0.23367	24768	1.53137	
8	0.81041	0.81289	0.81645	0.22631	46866	1.53389	
9	0.80101	0.79749	0.79651	0.19503	46599	1.55291	
10	0.79585	0.80112	0.79574	0.19072	25702	1.56012	
11	0.80010	0.79090	0.79997	0.18183	27859	1.59415	
1	0.89703	0.89847	0.89510	0.90307	168002	1.44273	
2	0.90368	0.90251	0.90309	0.50398	55237	1.45513	
3	0.90815	0.91181	0.91410	0.43109	35112	1.47763	
4	0.84116	0.84179	0.83906	0.34110	25143	1.50321	
5	0.86043	0.86345	0.86068	0.29354	24031	1.53308	
6	0.82570	0.82737	0.82397	0.25823	24730	1.55142	
7	0.81850	0.81752	0.80224	0.21794	24768	1.52363	
8	0.80931	0.80597	0.79408	0.22579	46866	1.51044	
9	0.80132	0.80330	0.80531	0.19990	46599	1.55688	
10	0.79976	0.79403	0.80275	0.19476	25702	1.58659	
11	0.78036	0.78536	0.78962	0.18352	27859	1.60817	
