1	0.99417	0	0.06757	
2	0.99312	6091	0.07768	
3	0.98567	10364	0.11591	
4	0.98696	11994	0.11666	
5	0.99079	13140	0.14072	
6	0.98877	13691	0.15949	
7	0.98878	14289	0.25121	
8	0.99495	15663	0.21709	
9	0.98817	16845	0.23315	
10	0.98665	17746	0.22563	
11	0.98461	18128	0.24404	
12	0.98816	18602	0.28523	
13	0.98604	18835	0.32742	
14	0.98426	18880	0.38988	
15	0.98972	19210	0.44075	
16	0.98579	19530	0.44760	
17	0.98430	19647	0.40827	
18	0.97793	19844	0.59566	
19	0.97843	20032	0.55647	
20	0.97497	20058	0.58268	
1	0.97021	0	0.09654	
2	0.94640	16214	0.15729	
3	0.91528	13309	0.15241	
4	0.95181	13590	0.22485	
5	0.94366	15535	0.20377	
6	0.92024	16198	0.24953	
7	0.93793	16765	0.26931	
8	0.93331	17061	0.29765	
1	0.99828	0	0.08996	
2	0.98617	10955	0.09620	
3	0.96378	12286	0.11076	
4	0.97869	13512	0.12854	
5	0.97515	15733	0.16609	
6	0.97371	16620	0.15529	
7	0.97320	17450	0.17193	
8	0.97167	17929	0.20703	
9	0.95620	18494	0.23157	
10	0.96534	19007	0.22458	
11	0.96939	18975	0.23690	
12	0.95994	19100	0.31469	
13	0.95793	19140	0.37003	
14	0.96804	19142	0.30014	
15	0.96352	19313	0.31034	
16	0.96542	19584	0.31638	
17	0.96594	19660	0.34671	
18	0.96533	19812	0.38383	
19	0.96920	20012	0.40417	
20	0.95877	20058	0.30654	
