1	0.99765	0	0.06482	
2	0.99767	3846	0.06985	
3	0.99527	15012	0.08417	
4	0.97883	15014	0.10084	
5	0.97535	15020	0.11498	
6	0.97853	15020	0.12413	
7	0.98009	15028	0.13731	
8	0.97688	15036	0.16145	
9	0.97514	15042	0.17966	
10	0.96079	15044	0.22633	
11	0.97067	15044	0.23547	
12	0.96705	15056	0.24935	
13	0.95952	15060	0.27002	
14	0.95773	15072	0.29914	
15	0.95623	15070	0.34064	
16	0.95248	15062	0.41699	
17	0.95828	15068	0.46517	
18	0.96076	15090	0.51119	
19	0.94659	15084	0.54851	
20	0.95543	15108	0.56981	
