Seed-58164	[0.8608016053229128, 0.896978253218992, 0.8848250752659924, 0.8608486210948487, 0.8723179002689434, 0.8796547140347459, 0.8769577015442784, 0.8498190609343582, 0.8488310580529241, 0.8460962908430745, 0.8596701744400207]
Seed-45832	[0.8959482499247818, 0.8838608967709937, 0.9016078704787013, 0.8320410360681147, 0.8115146216501913, 0.8335065704535056, 0.843936360869458, 0.8265354484762185, 0.8501510076605092, 0.8218947509799739, 0.820058510267157]
Seed-63433	[0.8711356771000707, 0.9301684004709525, 0.8841139613781183, 0.8700465626578351, 0.8734443677841426, 0.8634444317997273, 0.8812708183389685, 0.8729927726135603, 0.853709475527808, 0.8649044715411272, 0.8535269859274135]
Seed-5995	[0.9015381030062922, 0.851305620916998, 0.8115890323154771, 0.8032530739306154, 0.8020074962806888, 0.8212815426497807, 0.832674302420961, 0.839925645595146, 0.8177890994484938, 0.7985184714762968, 0.813671315917162]
Seed-83243	[0.9095828517389933, 0.8794836007916018, 0.8693935318821367, 0.872858995156154, 0.8743977931265647, 0.8611479752850514, 0.8488845026522988, 0.8484969746086497, 0.8424147451984388, 0.8304874596527462, 0.8166550032035486]
Seed-48000	[0.8931701581872595, 0.8621317166062006, 0.7786124487456361, 0.8221674167168977, 0.815339249987096, 0.8465070731858183, 0.8361510808668918, 0.8541298175067196, 0.8354659673994261, 0.8350120379956781, 0.8381787737875712]
Seed-10222	[0.9068381779708208, 0.9076930652698353, 0.8572898109913888, 0.8358992617931877, 0.8378325087425308, 0.859852811803116, 0.8609908130173766, 0.83541399283381, 0.8289157466574577, 0.8254423581910162, 0.8204858857412826]
Seed-50754	[0.8689100954294324, 0.8841849433562141, 0.8728013308910173, 0.8892597676063364, 0.9100860651835246, 0.9027088446894522, 0.8815920191226422, 0.8776041681980842, 0.8772749199683855, 0.8464125625157178, 0.841720416593481]
Seed-87458	[0.8636363636363636, 0.8631710661594447, 0.8795596428220082, 0.8691656465502563, 0.8683436377778044, 0.867021490020674, 0.8617070850189272, 0.8645356696038892, 0.8550277271712003, 0.8629396608259979, 0.8551318294007171]
Seed-25557	[0.8610965601536581, 0.8941083166185145, 0.9032063246216505, 0.8900050373159029, 0.878631297266347, 0.881785240853076, 0.8722386713011983, 0.8679847530947642, 0.8408053666421096, 0.8482207901179699, 0.8387941495112564]
Seed-29105	[0.826477704804701, 0.8600967131430057, 0.8479376480261753, 0.8784984422830525, 0.8829334845868901, 0.8673751021857918, 0.8783981078888871, 0.8899675284721404, 0.8907911844114746, 0.8812987183746257, 0.8751785429998958]
Seed-94784	[0.8374450415241818, 0.8494326867012307, 0.8956449210891183, 0.8925866650607488, 0.8769396255948134, 0.8716343857645245, 0.8807937875206303, 0.8739291818343264, 0.866943718187557, 0.8731010624367082, 0.8636481189307804]
