Seed-36096	[0.8733006393941275, 0.9039526449524413, 0.9066887583090256, 0.8908984569067563, 0.8850513498691216, 0.8877986887659542, 0.858346833670426, 0.8581804389288865, 0.8666289497121766, 0.8665082452503847, 0.8325106399775198]
Seed-53684	[0.8635541673516357, 0.7946426797604366, 0.838979175767561, 0.8548541426364477, 0.8118634610175265, 0.8264585678025228, 0.833640794922269, 0.8394036376793912, 0.8407596599486462, 0.8404967934328361, 0.8443564012768537]
Seed-4804	[0.8541440953412784, 0.8804755455811795, 0.8749333051210209, 0.8678693056567292, 0.8623715007036811, 0.877726213229267, 0.8587788578603341, 0.8659974673202825, 0.8409756926427576, 0.832652533227629, 0.8355891119950303]
Seed-72877	[0.8997807147513779, 0.8680696014152453, 0.8437351623071395, 0.8604774761243303, 0.8567878648223484, 0.8414884082867787, 0.8320159330505528, 0.8172674711053186, 0.8385593817189785, 0.8476240087919814, 0.8225316678088909]
Seed-28002	[0.8839828471796805, 0.9208090953259613, 0.9211675724759125, 0.9060298268531286, 0.8832774957042357, 0.8915741468664574, 0.886036010015368, 0.870091712297236, 0.8707577054566527, 0.856442632860529, 0.8380940655338467]
Seed-64946	[0.8783136378153944, 0.8316309589551287, 0.8513309576449664, 0.8223250508738906, 0.8343815377530316, 0.8595624193309023, 0.8502448694590157, 0.8430951652750117, 0.8308794552109298, 0.8327499580212173, 0.8307789969295112]
Seed-22957	[0.9027283511269276, 0.818513554117879, 0.8400849272571604, 0.8380494506310434, 0.8408514482571233, 0.8579171503223, 0.8201628366143262, 0.8102604734180747, 0.8033653015371593, 0.8075738780367491, 0.8156008108383628]
Seed-72387	[0.8401670951156812, 0.8739364224776749, 0.9001110047087829, 0.8967814520512176, 0.8838601729969525, 0.878005208592501, 0.8556279365146037, 0.8626845317183216, 0.8524046054210496, 0.8665549814761719, 0.8567969856017587]
Seed-37379	[0.8616237184815738, 0.8629768029187437, 0.8907058715722891, 0.8877975422931472, 0.8665538962242112, 0.8555595606509333, 0.8619015027709568, 0.8648821048390576, 0.8683756749940718, 0.8564225099117871, 0.8545780850518774]
Seed-31863	[0.9260595130748422, 0.8528059001815655, 0.8679647113628205, 0.8761450884426318, 0.8569458817698828, 0.8172689726057376, 0.7849862029536823, 0.7825633378821844, 0.7881489173104844, 0.803142111661878, 0.8013585493453138]
