Seed-94001	[0.9055062360437884, 0.8908502012395364, 0.9064415352284495, 0.8987555779733745, 0.8165672362981142, 0.827114701461908, 0.8047309079093974, 0.7949435940205711, 0.8120085802431989, 0.8124300429841783, 0.8111478787229441]
Seed-58929	[0.9026370244601263, 0.8987040476036072, 0.8587959133712558, 0.8668332681942221, 0.8551096618698905, 0.855872921397879, 0.8365039851048656, 0.8242468365188111, 0.8095963678430063, 0.8060092413759467, 0.8061066042867631]
Seed-69461	[0.8831623134328358, 0.8858468299665466, 0.8656118865526645, 0.8554013777343474, 0.8674961755858621, 0.8520834706836325, 0.8352618847243499, 0.850253795414897, 0.8621412866639097, 0.8269734562037808, 0.8418225818206434]
Seed-49223	[0.9020353928851845, 0.8296232516559827, 0.7747050114352295, 0.7930129953123735, 0.8229626976649762, 0.8246451582378138, 0.8211399562733485, 0.7956381188628827, 0.8102525525379417, 0.8045945905037417, 0.820097356525887]
Seed-92407	[0.8616645854823823, 0.91350550440389, 0.8945421783069744, 0.8600512350070787, 0.8625299172854219, 0.8746717643603404, 0.8497585597288512, 0.8506693059396049, 0.8424844412095488, 0.8329043610160614, 0.8348151315252665]
Seed-85689	[0.8621746584238142, 0.8749643284536436, 0.8760746020614568, 0.8732981890262704, 0.8713097721178796, 0.8411157390358496, 0.8411766930557603, 0.8550361580685526, 0.8542865684859149, 0.8500399275500501, 0.8573635889407609]
Seed-75820	[0.9114626242653925, 0.9218904331313286, 0.9147445480127713, 0.8870822835624368, 0.8097734096215943, 0.7969546591120699, 0.7912766748413222, 0.7975069856994259, 0.7871508828797152, 0.8065928855789686, 0.8061848005615424]
Seed-46904	[0.8801216786689844, 0.8547599839824639, 0.8515207244365074, 0.8828978465650041, 0.8734440867038307, 0.8765788404084177, 0.884750599736764, 0.8677531679486428, 0.8581376896575841, 0.8165396119236161, 0.8324666539128622]
Seed-90561	[0.8989924119915412, 0.9121758603772899, 0.8947857533443453, 0.8782882696136389, 0.8218703258096273, 0.8097508454154355, 0.8070939681048922, 0.8032276601220236, 0.822695019554394, 0.8252872610931741, 0.8266485132754592]
Seed-743	[0.8930575035063114, 0.9049622857729278, 0.8822076555420368, 0.8706326246922804, 0.8504476995366479, 0.8587022908394139, 0.844252510629102, 0.8534963629125086, 0.830606948683303, 0.8241433175025079, 0.8229047516663853]
Seed-17669	[0.9068635275339186, 0.9135299607959839, 0.9011181318154254, 0.8912503316045016, 0.9011502840633152, 0.8439298302224199, 0.8289364466619537, 0.837656178566838, 0.8129777810678518, 0.8100120977514221, 0.8184323816335435]
Seed-86429	[0.8481475834730904, 0.8774906577968891, 0.8858773853178804, 0.8576755586215895, 0.8556919283623718, 0.857629177697231, 0.8663357989700946, 0.8576422848698293, 0.8537888064966009, 0.859510665379268, 0.8571971735743996]
Seed-80458	[0.8645363921889936, 0.8869638057525173, 0.8904045146441245, 0.8637236366544423, 0.874749059446027, 0.8544659846711524, 0.8621188514957047, 0.846990814340291, 0.8606192040443855, 0.852264865010342, 0.8536459707575786]
Seed-71997	[0.9038275013056778, 0.8345410477190719, 0.8331123524620304, 0.8373236734818303, 0.8514830027276359, 0.8391923590633024, 0.8358586349248683, 0.8258462023592098, 0.8220004532310272, 0.8415801905615121, 0.8300914178585745]
Seed-37328	[0.9015799581005587, 0.8636810336295253, 0.8892909295530996, 0.8946966557431845, 0.8672799285953567, 0.8589445488778583, 0.8728004825932368, 0.8761082329373092, 0.8538985510490033, 0.8369652540298496, 0.8228009832100962]
Seed-18268	[0.8523494165878271, 0.8780644886908473, 0.8953638814077971, 0.8918928079361594, 0.8965244448488578, 0.9100755495665851, 0.9021490324982039, 0.88987617900599, 0.872935553136544, 0.874088707963061, 0.8576660668903183]
Seed-39485	[0.843184421534937, 0.913520295328502, 0.9141048136788568, 0.9226034815011632, 0.9294001669856975, 0.9179202696768319, 0.9094681675561148, 0.9039500651074676, 0.9061380598811036, 0.9000244284356601, 0.8800445168091495]
Seed-91187	[0.8944154057771664, 0.8901962459524806, 0.9173956328427141, 0.9011274203711761, 0.8828223764788197, 0.860825033480396, 0.8433698524594967, 0.8410632732797019, 0.8255020058784351, 0.8220644772072635, 0.8231590711029806]
Seed-85648	[0.8718212314684558, 0.922490617568334, 0.9127268819789118, 0.8987477701365125, 0.9017112751993857, 0.8758969125613564, 0.8483536669639163, 0.8472810011765309, 0.8330655187701442, 0.8412136792556424, 0.8395215993371096]
Seed-95733	[0.840482783844506, 0.895711336499779, 0.9104207242818182, 0.9106645662310592, 0.9139278850349555, 0.9159390514239009, 0.9183271846573474, 0.919219450213426, 0.8925451884463871, 0.8863194930101118, 0.8648346949030185]
